number,name,name_origin,link,score,quote
1,肖申克的救赎,?/?The Shawshank Redemption,https://movie.douban.com/subject/1292052/,9.7,希望让人自由。
2,霸王别姬,?/?再见，我的妾  /  Farewell My Concubine,https://movie.douban.com/subject/1291546/,9.6,风华绝代。
3,这个杀手不太冷,?/?Léon,https://movie.douban.com/subject/1295644/,9.4,怪蜀黍和小萝莉不得不说的故事。
4,阿甘正传,?/?Forrest Gump,https://movie.douban.com/subject/1292720/,9.4,一部美国近现代史。
5,美丽人生,?/?La vita è bella,https://movie.douban.com/subject/1292063/,9.5,最美的谎言。
6,千与千寻,?/?千と千尋の神隠し,https://movie.douban.com/subject/1291561/,9.3,最好的宫崎骏，最好的久石让。 
7,泰坦尼克号,?/?Titanic,https://movie.douban.com/subject/1292722/,9.4,失去的才是永恒的。 
8,辛德勒的名单,?/?Schindler's List,https://movie.douban.com/subject/1295124/,9.5,拯救一个人，就是拯救整个世界。
9,盗梦空间,?/?Inception,https://movie.douban.com/subject/3541415/,9.3,诺兰给了我们一场无法盗取的梦。
10,忠犬八公的故事,?/?Hachi: A Dog's Tale,https://movie.douban.com/subject/3011091/,9.3,永远都不能忘记你所爱的人。
11,机器人总动员,?/?WALL·E,https://movie.douban.com/subject/2131459/,9.3,小瓦力，大人生。
12,三傻大闹宝莱坞,?/?3 Idiots,https://movie.douban.com/subject/3793023/,9.2,英俊版憨豆，高情商版谢耳朵。
13,放牛班的春天,?/?Les choristes,https://movie.douban.com/subject/1291549/,9.3,天籁一般的童声，是最接近上帝的存在。 
14,海上钢琴师,?/?La leggenda del pianista sull'oceano,https://movie.douban.com/subject/1292001/,9.2,每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
15,楚门的世界,?/?The Truman Show,https://movie.douban.com/subject/1292064/,9.2,如果再也不能见到你，祝你早安，午安，晚安。
16,大话西游之大圣娶亲,?/?西遊記大結局之仙履奇緣,https://movie.douban.com/subject/1292213/,9.2,一生所爱。
17,星际穿越,?/?Interstellar,https://movie.douban.com/subject/1889243/,9.3,爱是一种力量，让我们超越时空感知它的存在。
18,龙猫,?/?となりのトトロ,https://movie.douban.com/subject/1291560/,9.2,人人心中都有个龙猫，童年就永远不会消失。
19,熔炉,?/????,https://movie.douban.com/subject/5912992/,9.3,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
